Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.087514
Episode-64: ep_meanFlowTime: 419.867221	 all_loss: 1.312765	 p_loss: -1.502501	 e_loss: 1.236587	 v_loss: 2.625529	 v_mre: 107.860434	 grad_changes: 0.000000	 time_elapsed: 1.8462
Episode-65: ep_meanFlowTime: 416.648808	 all_loss: 1.145077	 p_loss: -1.355533	 e_loss: 1.259373	 v_loss: 2.290154	 v_mre: 109.919255	 grad_changes: 0.000000	 time_elapsed: 1.8660
Episode-66: ep_meanFlowTime: 190.237661	 all_loss: 0.279660	 p_loss: -0.683015	 e_loss: 1.276715	 v_loss: 0.559320	 v_mre: 119.007108	 grad_changes: 0.000000	 time_elapsed: 1.8847
Episode-67: ep_meanFlowTime: 538.806726	 all_loss: 1.899650	 p_loss: -1.839758	 e_loss: 1.176291	 v_loss: 3.799300	 v_mre: 125.656357	 grad_changes: 0.000000	 time_elapsed: 1.9059
Episode-68: ep_meanFlowTime: 602.793939	 all_loss: 2.254422	 p_loss: -1.992169	 e_loss: 1.319055	 v_loss: 4.508843	 v_mre: 105.589738	 grad_changes: 0.000000	 time_elapsed: 1.9264
Episode-69: ep_meanFlowTime: 323.831508	 all_loss: 0.793921	 p_loss: -1.148328	 e_loss: 1.248528	 v_loss: 1.587841	 v_mre: 111.157621	 grad_changes: 0.000000	 time_elapsed: 1.9457
Episode-70: ep_meanFlowTime: 423.201317	 all_loss: 1.175235	 p_loss: -1.434814	 e_loss: 1.272507	 v_loss: 2.350469	 v_mre: 107.945719	 grad_changes: 0.000000	 time_elapsed: 1.9653
Episode-71: ep_meanFlowTime: 620.446316	 all_loss: 2.447876	 p_loss: -2.068616	 e_loss: 1.196471	 v_loss: 4.895751	 v_mre: 116.085394	 grad_changes: 0.000000	 time_elapsed: 1.9872
Episode-72: ep_meanFlowTime: 450.682388	 all_loss: 1.501184	 p_loss: -1.551766	 e_loss: 1.274690	 v_loss: 3.002367	 v_mre: 129.206265	 grad_changes: 0.000000	 time_elapsed: 2.0066
Episode-73: ep_meanFlowTime: 311.116616	 all_loss: 0.763160	 p_loss: -1.124880	 e_loss: 1.250141	 v_loss: 1.526321	 v_mre: 120.851732	 grad_changes: 0.000000	 time_elapsed: 2.0258
Episode-74: ep_meanFlowTime: 470.895924	 all_loss: 1.532862	 p_loss: -1.563673	 e_loss: 1.298153	 v_loss: 3.065724	 v_mre: 107.908971	 grad_changes: 0.000000	 time_elapsed: 2.0462
Episode-75: ep_meanFlowTime: 433.832878	 all_loss: 1.348593	 p_loss: -1.478876	 e_loss: 1.233449	 v_loss: 2.697186	 v_mre: 108.330045	 grad_changes: 0.000000	 time_elapsed: 2.0661
Episode-76: ep_meanFlowTime: 375.999672	 all_loss: 1.198866	 p_loss: -1.347155	 e_loss: 1.328162	 v_loss: 2.397731	 v_mre: 116.875711	 grad_changes: 0.000000	 time_elapsed: 2.0852
Episode-77: ep_meanFlowTime: 358.403774	 all_loss: 0.996687	 p_loss: -1.254631	 e_loss: 1.208208	 v_loss: 1.993373	 v_mre: 110.527764	 grad_changes: 0.000000	 time_elapsed: 2.1053
Episode-78: ep_meanFlowTime: 474.263467	 all_loss: 1.462072	 p_loss: -1.606935	 e_loss: 1.226510	 v_loss: 2.924145	 v_mre: 112.517413	 grad_changes: 0.000000	 time_elapsed: 2.1267
Episode-79: ep_meanFlowTime: 546.915307	 all_loss: 2.033675	 p_loss: -1.898199	 e_loss: 1.223157	 v_loss: 4.067351	 v_mre: 105.847747	 grad_changes: 0.000000	 time_elapsed: 2.1496
Episode-80: ep_meanFlowTime: 441.091507	 all_loss: 1.141166	 p_loss: -1.406205	 e_loss: 1.192271	 v_loss: 2.282331	 v_mre: 108.801859	 grad_changes: 0.000000	 time_elapsed: 2.1704
Vlidation at update-80: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293131+/-0.046701	 record: 421.007858	 time_elapsed: 2.2863
Episode-81: ep_meanFlowTime: 257.239124	 all_loss: 0.688459	 p_loss: -0.901977	 e_loss: 1.300989	 v_loss: 1.376918	 v_mre: 152.276197	 grad_changes: 0.000000	 time_elapsed: 2.3055
Episode-82: ep_meanFlowTime: 446.782780	 all_loss: 1.318198	 p_loss: -1.506170	 e_loss: 1.323923	 v_loss: 2.636396	 v_mre: 107.732693	 grad_changes: 0.000000	 time_elapsed: 2.3254
Episode-83: ep_meanFlowTime: 529.880921	 all_loss: 2.023284	 p_loss: -1.857386	 e_loss: 1.230764	 v_loss: 4.046567	 v_mre: 126.929284	 grad_changes: 0.000000	 time_elapsed: 2.3463
Episode-84: ep_meanFlowTime: 329.581661	 all_loss: 0.851393	 p_loss: -1.179500	 e_loss: 1.251141	 v_loss: 1.702785	 v_mre: 116.747016	 grad_changes: 0.000000	 time_elapsed: 2.3660
Episode-85: ep_meanFlowTime: 496.905205	 all_loss: 1.694213	 p_loss: -1.722643	 e_loss: 1.315162	 v_loss: 3.388426	 v_mre: 106.507598	 grad_changes: 0.000000	 time_elapsed: 2.3862
Episode-86: ep_meanFlowTime: 577.587699	 all_loss: 2.349214	 p_loss: -2.031456	 e_loss: 1.210241	 v_loss: 4.698428	 v_mre: 105.573789	 grad_changes: 0.000000	 time_elapsed: 2.4069
Episode-87: ep_meanFlowTime: 482.605707	 all_loss: 1.729278	 p_loss: -1.695498	 e_loss: 1.280909	 v_loss: 3.458556	 v_mre: 107.204388	 grad_changes: 0.000000	 time_elapsed: 2.4267
Episode-88: ep_meanFlowTime: 518.290704	 all_loss: 1.845321	 p_loss: -1.704438	 e_loss: 1.263188	 v_loss: 3.690641	 v_mre: 112.535701	 grad_changes: 0.000000	 time_elapsed: 2.4478
Episode-89: ep_meanFlowTime: 617.610856	 all_loss: 2.776790	 p_loss: -2.147400	 e_loss: 1.273558	 v_loss: 5.553580	 v_mre: 105.613799	 grad_changes: 0.000000	 time_elapsed: 2.4689
Episode-90: ep_meanFlowTime: 481.074134	 all_loss: 1.646599	 p_loss: -1.691521	 e_loss: 1.242621	 v_loss: 3.293198	 v_mre: 106.679680	 grad_changes: 0.000000	 time_elapsed: 2.4899
Episode-91: ep_meanFlowTime: 392.102013	 all_loss: 1.300857	 p_loss: -1.393431	 e_loss: 1.280884	 v_loss: 2.601714	 v_mre: 116.471111	 grad_changes: 0.000000	 time_elapsed: 2.5101
Episode-92: ep_meanFlowTime: 358.743333	 all_loss: 0.849949	 p_loss: -1.225017	 e_loss: 1.244332	 v_loss: 1.699897	 v_mre: 114.385040	 grad_changes: 0.000000	 time_elapsed: 2.5303
Episode-93: ep_meanFlowTime: 447.216322	 all_loss: 1.360736	 p_loss: -1.531754	 e_loss: 1.173443	 v_loss: 2.721471	 v_mre: 107.385205	 grad_changes: 0.000000	 time_elapsed: 2.5520
Episode-94: ep_meanFlowTime: 409.783191	 all_loss: 1.165395	 p_loss: -1.331562	 e_loss: 1.261177	 v_loss: 2.330790	 v_mre: 109.697957	 grad_changes: 0.000000	 time_elapsed: 2.5728
Episode-95: ep_meanFlowTime: 376.828699	 all_loss: 1.050334	 p_loss: -1.340848	 e_loss: 1.255004	 v_loss: 2.100667	 v_mre: 109.247882	 grad_changes: 0.000000	 time_elapsed: 2.5925
Episode-96: ep_meanFlowTime: 345.133880	 all_loss: 0.791235	 p_loss: -1.201577	 e_loss: 1.169632	 v_loss: 1.582471	 v_mre: 109.163457	 grad_changes: 0.000000	 time_elapsed: 2.6128
Episode-97: ep_meanFlowTime: 671.138916	 all_loss: 2.936709	 p_loss: -2.256892	 e_loss: 1.219053	 v_loss: 5.873419	 v_mre: 105.037556	 grad_changes: 0.000000	 time_elapsed: 2.6348
Episode-98: ep_meanFlowTime: 377.903848	 all_loss: 0.958527	 p_loss: -1.305820	 e_loss: 1.245934	 v_loss: 1.917054	 v_mre: 108.902920	 grad_changes: 0.000000	 time_elapsed: 2.6554
Episode-99: ep_meanFlowTime: 292.192444	 all_loss: 0.684596	 p_loss: -1.090300	 e_loss: 1.247610	 v_loss: 1.369192	 v_mre: 110.982166	 grad_changes: 0.000000	 time_elapsed: 2.6746
Episode-100: ep_meanFlowTime: 259.731258	 all_loss: 0.576163	 p_loss: -0.970812	 e_loss: 1.258117	 v_loss: 1.152325	 v_mre: 131.857335	 grad_changes: 0.000000	 time_elapsed: 2.6941
Vlidation at update-100: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293123+/-0.046700	 record: 421.007858	 time_elapsed: 2.8076
Episode-101: ep_meanFlowTime: 388.431814	 all_loss: 1.069473	 p_loss: -1.342772	 e_loss: 1.240341	 v_loss: 2.138947	 v_mre: 108.732625	 grad_changes: 0.000000	 time_elapsed: 2.8275
Episode-102: ep_meanFlowTime: 421.797046	 all_loss: 1.299011	 p_loss: -1.440161	 e_loss: 1.177033	 v_loss: 2.598022	 v_mre: 108.781880	 grad_changes: 0.000000	 time_elapsed: 2.8484
Episode-103: ep_meanFlowTime: 261.853116	 all_loss: 0.464901	 p_loss: -0.910642	 e_loss: 1.241786	 v_loss: 0.929801	 v_mre: 134.661435	 grad_changes: 0.000000	 time_elapsed: 2.8674
Episode-104: ep_meanFlowTime: 420.934588	 all_loss: 1.234205	 p_loss: -1.481569	 e_loss: 1.216687	 v_loss: 2.468409	 v_mre: 107.595950	 grad_changes: 0.000000	 time_elapsed: 2.8876
Episode-105: ep_meanFlowTime: 483.749705	 all_loss: 1.689891	 p_loss: -1.691409	 e_loss: 1.221283	 v_loss: 3.379782	 v_mre: 106.995803	 grad_changes: 0.000000	 time_elapsed: 2.9075
Episode-106: ep_meanFlowTime: 379.975326	 all_loss: 1.139346	 p_loss: -1.300403	 e_loss: 1.248175	 v_loss: 2.278692	 v_mre: 110.396187	 grad_changes: 0.000000	 time_elapsed: 2.9282
Episode-107: ep_meanFlowTime: 517.288033	 all_loss: 1.792687	 p_loss: -1.735184	 e_loss: 1.277768	 v_loss: 3.585374	 v_mre: 126.966867	 grad_changes: 0.000000	 time_elapsed: 2.9491
Episode-108: ep_meanFlowTime: 448.191484	 all_loss: 1.606582	 p_loss: -1.562554	 e_loss: 1.197910	 v_loss: 3.213164	 v_mre: 139.750016	 grad_changes: 0.000000	 time_elapsed: 2.9699
Episode-109: ep_meanFlowTime: 316.545498	 all_loss: 0.863145	 p_loss: -1.162393	 e_loss: 1.303175	 v_loss: 1.726290	 v_mre: 111.349194	 grad_changes: 0.000000	 time_elapsed: 2.9887
Episode-110: ep_meanFlowTime: 449.515017	 all_loss: 1.367953	 p_loss: -1.557260	 e_loss: 1.210728	 v_loss: 2.735905	 v_mre: 107.527165	 grad_changes: 0.000000	 time_elapsed: 3.0089
Episode-111: ep_meanFlowTime: 503.093811	 all_loss: 1.979795	 p_loss: -1.750641	 e_loss: 1.201090	 v_loss: 3.959590	 v_mre: 107.030456	 grad_changes: 0.000000	 time_elapsed: 3.0317
Episode-112: ep_meanFlowTime: 344.723421	 all_loss: 0.887607	 p_loss: -1.243732	 e_loss: 1.237135	 v_loss: 1.775214	 v_mre: 129.770778	 grad_changes: 0.000000	 time_elapsed: 3.0504
Episode-113: ep_meanFlowTime: 319.659177	 all_loss: 0.920284	 p_loss: -1.194411	 e_loss: 1.287154	 v_loss: 1.840569	 v_mre: 117.698021	 grad_changes: 0.000000	 time_elapsed: 3.0694
Episode-114: ep_meanFlowTime: 458.648448	 all_loss: 1.743705	 p_loss: -1.661008	 e_loss: 1.307976	 v_loss: 3.487411	 v_mre: 108.162678	 grad_changes: 0.000000	 time_elapsed: 3.0895
Episode-115: ep_meanFlowTime: 615.106484	 all_loss: 2.510059	 p_loss: -2.099224	 e_loss: 1.229681	 v_loss: 5.020119	 v_mre: 105.561880	 grad_changes: 0.000000	 time_elapsed: 3.1120
Episode-116: ep_meanFlowTime: 330.757510	 all_loss: 0.760872	 p_loss: -1.111707	 e_loss: 1.236070	 v_loss: 1.521743	 v_mre: 112.584923	 grad_changes: 0.000000	 time_elapsed: 3.1318
Episode-117: ep_meanFlowTime: 441.132268	 all_loss: 1.217741	 p_loss: -1.450980	 e_loss: 1.177044	 v_loss: 2.435481	 v_mre: 108.106687	 grad_changes: 0.000000	 time_elapsed: 3.1531
Episode-118: ep_meanFlowTime: 431.654799	 all_loss: 1.212528	 p_loss: -1.449746	 e_loss: 1.307680	 v_loss: 2.425056	 v_mre: 107.825674	 grad_changes: 0.000000	 time_elapsed: 3.1726
Episode-119: ep_meanFlowTime: 381.914407	 all_loss: 0.995311	 p_loss: -1.304380	 e_loss: 1.220473	 v_loss: 1.990621	 v_mre: 109.420119	 grad_changes: 0.000000	 time_elapsed: 3.1934
Episode-120: ep_meanFlowTime: 346.351926	 all_loss: 0.953379	 p_loss: -1.228483	 e_loss: 1.283538	 v_loss: 1.906758	 v_mre: 115.222685	 grad_changes: 0.000000	 time_elapsed: 3.2123
Vlidation at update-120: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293126+/-0.046704	 record: 421.007858	 time_elapsed: 3.3259
