Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.006670
Episode-43: ep_meanFlowTime: 352.169154	 all_loss: 0.071019	 p_loss: -0.159122	 e_loss: 1.005889	 v_loss: 0.142039	 v_mre: 59.690823	 grad_changes: 0.000000	 time_elapsed: 0.4789
Episode-44: ep_meanFlowTime: 445.696244	 all_loss: 0.051238	 p_loss: -0.115013	 e_loss: 0.983075	 v_loss: 0.102476	 v_mre: 115.393691	 grad_changes: 0.000000	 time_elapsed: 0.4886
Episode-45: ep_meanFlowTime: 479.100285	 all_loss: 0.078497	 p_loss: 0.095405	 e_loss: 0.916546	 v_loss: 0.156995	 v_mre: 25.822888	 grad_changes: 0.000000	 time_elapsed: 0.4990
Episode-46: ep_meanFlowTime: 595.622338	 all_loss: 0.099765	 p_loss: -0.304177	 e_loss: 0.907693	 v_loss: 0.199529	 v_mre: 40.273634	 grad_changes: 0.000000	 time_elapsed: 0.5124
Episode-47: ep_meanFlowTime: 517.939218	 all_loss: 0.052200	 p_loss: -0.171279	 e_loss: 0.958799	 v_loss: 0.104401	 v_mre: 17.139266	 grad_changes: 0.000000	 time_elapsed: 0.5222
Episode-48: ep_meanFlowTime: 303.465176	 all_loss: 0.044422	 p_loss: 0.530678	 e_loss: 0.952865	 v_loss: 0.088845	 v_mre: 179.902303	 grad_changes: 0.000000	 time_elapsed: 0.5322
Episode-49: ep_meanFlowTime: 380.295420	 all_loss: 0.057139	 p_loss: -0.158992	 e_loss: 0.969380	 v_loss: 0.114279	 v_mre: 49.969502	 grad_changes: 0.000000	 time_elapsed: 0.5419
Episode-50: ep_meanFlowTime: 318.904155	 all_loss: 0.033198	 p_loss: 0.478069	 e_loss: 0.913589	 v_loss: 0.066395	 v_mre: 21.792348	 grad_changes: 0.000000	 time_elapsed: 0.5519
Episode-51: ep_meanFlowTime: 605.612921	 all_loss: 0.196368	 p_loss: -0.729172	 e_loss: 0.935165	 v_loss: 0.392736	 v_mre: 61.169484	 grad_changes: 0.000000	 time_elapsed: 0.5630
Episode-52: ep_meanFlowTime: 347.351553	 all_loss: 0.045539	 p_loss: 0.112753	 e_loss: 0.893088	 v_loss: 0.091078	 v_mre: 23.749713	 grad_changes: 0.000000	 time_elapsed: 0.5731
Episode-53: ep_meanFlowTime: 279.102655	 all_loss: 0.046173	 p_loss: 0.201855	 e_loss: 0.965179	 v_loss: 0.092346	 v_mre: 35.107649	 grad_changes: 0.000000	 time_elapsed: 0.5819
Episode-54: ep_meanFlowTime: 365.269823	 all_loss: 0.036085	 p_loss: -0.205066	 e_loss: 0.934977	 v_loss: 0.072169	 v_mre: 20.836500	 grad_changes: 0.000000	 time_elapsed: 0.5918
Episode-55: ep_meanFlowTime: 510.168885	 all_loss: 0.125224	 p_loss: -0.514453	 e_loss: 0.935726	 v_loss: 0.250447	 v_mre: 23.952059	 grad_changes: 0.000000	 time_elapsed: 0.6021
Episode-56: ep_meanFlowTime: 498.356130	 all_loss: 0.075228	 p_loss: 0.073957	 e_loss: 0.980600	 v_loss: 0.150456	 v_mre: 21.292625	 grad_changes: 0.000000	 time_elapsed: 0.6123
Episode-57: ep_meanFlowTime: 481.854308	 all_loss: 0.136750	 p_loss: 0.060833	 e_loss: 0.890485	 v_loss: 0.273500	 v_mre: 31.197031	 grad_changes: 0.000000	 time_elapsed: 0.6245
Episode-58: ep_meanFlowTime: 220.477090	 all_loss: 0.027827	 p_loss: 0.281356	 e_loss: 0.987668	 v_loss: 0.055655	 v_mre: 92.991712	 grad_changes: 0.000000	 time_elapsed: 0.6341
Episode-59: ep_meanFlowTime: 518.909931	 all_loss: 0.083444	 p_loss: -0.596671	 e_loss: 0.908010	 v_loss: 0.166887	 v_mre: 18.854897	 grad_changes: 0.000000	 time_elapsed: 0.6456
Episode-60: ep_meanFlowTime: 365.833407	 all_loss: 0.061078	 p_loss: 0.188435	 e_loss: 0.863574	 v_loss: 0.122238	 v_mre: 23.425925	 grad_changes: 0.000017	 time_elapsed: 0.6569
Vlidation at update-60: mean_flowtime_deterministic: 420.512350+/-69.402526	 mean_Entropy: 0.966007+/-0.037266	 record: 420.512350	 time_elapsed: 0.6691
Episode-61: ep_meanFlowTime: 476.776005	 all_loss: 0.061892	 p_loss: -0.160913	 e_loss: 0.949516	 v_loss: 0.123785	 v_mre: 20.087148	 grad_changes: 0.000000	 time_elapsed: 0.6826
Episode-62: ep_meanFlowTime: 472.391139	 all_loss: 0.075913	 p_loss: -0.253682	 e_loss: 1.074807	 v_loss: 0.151826	 v_mre: 249.321428	 grad_changes: 0.000000	 time_elapsed: 0.6924
Episode-63: ep_meanFlowTime: 384.894431	 all_loss: 0.048229	 p_loss: 0.202124	 e_loss: 0.940130	 v_loss: 0.096003	 v_mre: 19.073652	 grad_changes: 0.000053	 time_elapsed: 0.7018
Episode-64: ep_meanFlowTime: 393.958976	 all_loss: 0.045879	 p_loss: 0.027433	 e_loss: 0.881323	 v_loss: 0.091758	 v_mre: 19.901032	 grad_changes: 0.000000	 time_elapsed: 0.7124
Episode-65: ep_meanFlowTime: 412.386620	 all_loss: 0.060618	 p_loss: 0.032298	 e_loss: 0.892769	 v_loss: 0.121235	 v_mre: 22.317518	 grad_changes: 0.000000	 time_elapsed: 0.7231
Episode-66: ep_meanFlowTime: 184.131050	 all_loss: 0.013170	 p_loss: 0.155782	 e_loss: 0.957160	 v_loss: 0.026340	 v_mre: 28.214778	 grad_changes: 0.000000	 time_elapsed: 0.7314
Episode-67: ep_meanFlowTime: 531.246884	 all_loss: 0.090000	 p_loss: -0.692480	 e_loss: 0.816407	 v_loss: 0.180000	 v_mre: 18.892644	 grad_changes: 0.000000	 time_elapsed: 0.7437
Episode-68: ep_meanFlowTime: 590.877018	 all_loss: 0.059999	 p_loss: -0.318081	 e_loss: 0.927738	 v_loss: 0.119998	 v_mre: 15.758516	 grad_changes: 0.000000	 time_elapsed: 0.7545
Episode-69: ep_meanFlowTime: 343.504733	 all_loss: 0.051729	 p_loss: 0.463558	 e_loss: 0.864421	 v_loss: 0.103458	 v_mre: 21.582220	 grad_changes: 0.000000	 time_elapsed: 0.7664
Episode-70: ep_meanFlowTime: 424.886821	 all_loss: 0.052232	 p_loss: -0.258219	 e_loss: 0.931618	 v_loss: 0.104464	 v_mre: 20.880717	 grad_changes: 0.000000	 time_elapsed: 0.7763
Episode-71: ep_meanFlowTime: 597.667266	 all_loss: 0.140604	 p_loss: -0.157577	 e_loss: 0.866812	 v_loss: 0.281208	 v_mre: 200.676851	 grad_changes: 0.000000	 time_elapsed: 0.7881
Episode-72: ep_meanFlowTime: 456.577287	 all_loss: 0.059712	 p_loss: 0.197682	 e_loss: 0.870833	 v_loss: 0.119423	 v_mre: 19.358725	 grad_changes: 0.000000	 time_elapsed: 0.8002
Episode-73: ep_meanFlowTime: 303.780876	 all_loss: 0.037758	 p_loss: 0.050528	 e_loss: 0.912762	 v_loss: 0.075020	 v_mre: 63.726489	 grad_changes: 0.000041	 time_elapsed: 0.8106
Episode-74: ep_meanFlowTime: 445.609478	 all_loss: 0.086392	 p_loss: -0.240727	 e_loss: 0.834715	 v_loss: 0.172784	 v_mre: 26.741180	 grad_changes: 0.000000	 time_elapsed: 0.8208
Episode-75: ep_meanFlowTime: 436.986591	 all_loss: 0.090966	 p_loss: 0.016274	 e_loss: 0.810060	 v_loss: 0.182138	 v_mre: 24.150345	 grad_changes: 0.000041	 time_elapsed: 0.8321
Episode-76: ep_meanFlowTime: 508.820879	 all_loss: 0.274532	 p_loss: -0.465011	 e_loss: 1.041949	 v_loss: 0.549064	 v_mre: 108.262212	 grad_changes: 0.000000	 time_elapsed: 0.8420
Episode-77: ep_meanFlowTime: 601.921155	 all_loss: 0.172127	 p_loss: -0.358820	 e_loss: 0.910619	 v_loss: 0.343815	 v_mre: 24.883964	 grad_changes: 0.000123	 time_elapsed: 0.8536
Episode-78: ep_meanFlowTime: 462.490352	 all_loss: 0.105603	 p_loss: 0.667067	 e_loss: 0.854522	 v_loss: 0.211206	 v_mre: 37.882446	 grad_changes: 0.000000	 time_elapsed: 0.8641
Episode-79: ep_meanFlowTime: 533.611817	 all_loss: 0.101952	 p_loss: -0.006076	 e_loss: 0.833448	 v_loss: 0.203905	 v_mre: 22.075020	 grad_changes: 0.000000	 time_elapsed: 0.8763
Episode-80: ep_meanFlowTime: 438.745546	 all_loss: 0.033171	 p_loss: 0.045236	 e_loss: 0.807497	 v_loss: 0.066343	 v_mre: 16.370978	 grad_changes: 0.000000	 time_elapsed: 0.8871
Vlidation at update-80: mean_flowtime_deterministic: 420.144992+/-69.140653	 mean_Entropy: 0.878206+/-0.033762	 record: 420.144992	 time_elapsed: 0.8995
Episode-81: ep_meanFlowTime: 255.756171	 all_loss: 0.026834	 p_loss: 0.332296	 e_loss: 0.888982	 v_loss: 0.053669	 v_mre: 101.154812	 grad_changes: 0.000000	 time_elapsed: 0.9098
Episode-82: ep_meanFlowTime: 449.053300	 all_loss: 0.052033	 p_loss: -0.239317	 e_loss: 0.894348	 v_loss: 0.104066	 v_mre: 19.217216	 grad_changes: 0.000000	 time_elapsed: 0.9208
Episode-83: ep_meanFlowTime: 534.969128	 all_loss: 0.076332	 p_loss: -0.369002	 e_loss: 0.870623	 v_loss: 0.152865	 v_mre: 172.199216	 grad_changes: 0.000033	 time_elapsed: 0.9312
Episode-84: ep_meanFlowTime: 323.939434	 all_loss: 0.071125	 p_loss: 0.476115	 e_loss: 0.924755	 v_loss: 0.142251	 v_mre: 58.209035	 grad_changes: 0.000000	 time_elapsed: 0.9412
Episode-85: ep_meanFlowTime: 484.161912	 all_loss: 0.087461	 p_loss: -0.406193	 e_loss: 1.000729	 v_loss: 0.174922	 v_mre: 181.225698	 grad_changes: 0.000000	 time_elapsed: 0.9512
Episode-86: ep_meanFlowTime: 576.831584	 all_loss: 0.079242	 p_loss: 0.008249	 e_loss: 0.877820	 v_loss: 0.158483	 v_mre: 17.449926	 grad_changes: 0.000000	 time_elapsed: 0.9627
Episode-87: ep_meanFlowTime: 501.717593	 all_loss: 0.098910	 p_loss: -0.057132	 e_loss: 0.951760	 v_loss: 0.197820	 v_mre: 19.723016	 grad_changes: 0.000000	 time_elapsed: 0.9750
Episode-88: ep_meanFlowTime: 497.339263	 all_loss: 0.080096	 p_loss: 0.161194	 e_loss: 0.974813	 v_loss: 0.160191	 v_mre: 62.212779	 grad_changes: 0.000000	 time_elapsed: 0.9847
Episode-89: ep_meanFlowTime: 614.775385	 all_loss: 0.113681	 p_loss: -0.237022	 e_loss: 0.922447	 v_loss: 0.227362	 v_mre: 18.142149	 grad_changes: 0.000000	 time_elapsed: 0.9963
Episode-90: ep_meanFlowTime: 477.389745	 all_loss: 0.064211	 p_loss: 0.141050	 e_loss: 0.947560	 v_loss: 0.127914	 v_mre: 19.198091	 grad_changes: 0.000051	 time_elapsed: 1.0068
Episode-91: ep_meanFlowTime: 390.852768	 all_loss: 0.076839	 p_loss: 0.167349	 e_loss: 0.925206	 v_loss: 0.153678	 v_mre: 61.867506	 grad_changes: 0.000000	 time_elapsed: 1.0164
Episode-92: ep_meanFlowTime: 399.838977	 all_loss: 0.056129	 p_loss: 0.651504	 e_loss: 0.804333	 v_loss: 0.112258	 v_mre: 22.623258	 grad_changes: 0.000000	 time_elapsed: 1.0300
Episode-93: ep_meanFlowTime: 437.697927	 all_loss: 0.069409	 p_loss: -0.682357	 e_loss: 0.825668	 v_loss: 0.138817	 v_mre: 23.192592	 grad_changes: 0.000000	 time_elapsed: 1.0413
Episode-94: ep_meanFlowTime: 409.443055	 all_loss: 0.056682	 p_loss: 0.170610	 e_loss: 0.884563	 v_loss: 0.113363	 v_mre: 71.640812	 grad_changes: 0.000000	 time_elapsed: 1.0517
Episode-95: ep_meanFlowTime: 367.306657	 all_loss: 0.047111	 p_loss: 0.017625	 e_loss: 0.879523	 v_loss: 0.094222	 v_mre: 28.588727	 grad_changes: 0.000000	 time_elapsed: 1.0619
Episode-96: ep_meanFlowTime: 343.866639	 all_loss: 0.018710	 p_loss: 0.162880	 e_loss: 0.804350	 v_loss: 0.037421	 v_mre: 14.737762	 grad_changes: 0.000000	 time_elapsed: 1.0726
Episode-97: ep_meanFlowTime: 685.112326	 all_loss: 0.227486	 p_loss: -0.576173	 e_loss: 0.799757	 v_loss: 0.455190	 v_mre: 23.828867	 grad_changes: 0.000027	 time_elapsed: 1.0867
Episode-98: ep_meanFlowTime: 365.920833	 all_loss: 0.065875	 p_loss: 0.376121	 e_loss: 0.941635	 v_loss: 0.131751	 v_mre: 65.685055	 grad_changes: 0.000000	 time_elapsed: 1.0961
Episode-99: ep_meanFlowTime: 284.912516	 all_loss: 0.035060	 p_loss: -0.018173	 e_loss: 0.932306	 v_loss: 0.070120	 v_mre: 24.272533	 grad_changes: 0.000000	 time_elapsed: 1.1060
Episode-100: ep_meanFlowTime: 231.399530	 all_loss: 0.011704	 p_loss: 0.246844	 e_loss: 0.972567	 v_loss: 0.023407	 v_mre: 18.720466	 grad_changes: 0.000000	 time_elapsed: 1.1149
Vlidation at update-100: mean_flowtime_deterministic: 416.907288+/-68.150659	 mean_Entropy: 0.944169+/-0.032299	 record: 416.907288	 time_elapsed: 1.1271
Episode-101: ep_meanFlowTime: 362.380002	 all_loss: 0.067801	 p_loss: -0.436446	 e_loss: 0.949256	 v_loss: 0.135603	 v_mre: 66.358633	 grad_changes: 0.000000	 time_elapsed: 1.1379
Episode-102: ep_meanFlowTime: 390.521647	 all_loss: 0.061456	 p_loss: 0.047867	 e_loss: 0.910904	 v_loss: 0.122912	 v_mre: 22.626485	 grad_changes: 0.000000	 time_elapsed: 1.1483
Episode-103: ep_meanFlowTime: 261.203222	 all_loss: 0.020782	 p_loss: 0.293287	 e_loss: 0.932503	 v_loss: 0.041564	 v_mre: 19.295373	 grad_changes: 0.000000	 time_elapsed: 1.1581
Episode-104: ep_meanFlowTime: 402.018073	 all_loss: 0.049061	 p_loss: -0.457133	 e_loss: 0.937428	 v_loss: 0.098123	 v_mre: 19.734222	 grad_changes: 0.000000	 time_elapsed: 1.1681
Episode-105: ep_meanFlowTime: 486.013594	 all_loss: 0.082904	 p_loss: -0.025602	 e_loss: 0.912352	 v_loss: 0.165808	 v_mre: 19.012160	 grad_changes: 0.000000	 time_elapsed: 1.1791
Episode-106: ep_meanFlowTime: 353.281071	 all_loss: 0.086610	 p_loss: 0.232226	 e_loss: 0.906001	 v_loss: 0.173219	 v_mre: 62.999747	 grad_changes: 0.000000	 time_elapsed: 1.1895
Episode-107: ep_meanFlowTime: 506.229312	 all_loss: 0.088992	 p_loss: -0.180521	 e_loss: 0.928027	 v_loss: 0.177536	 v_mre: 94.927736	 grad_changes: 0.000040	 time_elapsed: 1.2001
Episode-108: ep_meanFlowTime: 430.296699	 all_loss: 0.092460	 p_loss: -0.033336	 e_loss: 0.809976	 v_loss: 0.184921	 v_mre: 33.206975	 grad_changes: 0.000000	 time_elapsed: 1.2104
Episode-109: ep_meanFlowTime: 309.863875	 all_loss: 0.071607	 p_loss: 0.316687	 e_loss: 0.859979	 v_loss: 0.143213	 v_mre: 34.527440	 grad_changes: 0.000000	 time_elapsed: 1.2195
Episode-110: ep_meanFlowTime: 415.102717	 all_loss: 0.051264	 p_loss: -0.157665	 e_loss: 0.792223	 v_loss: 0.102529	 v_mre: 20.997333	 grad_changes: 0.000000	 time_elapsed: 1.2306
Episode-111: ep_meanFlowTime: 458.133476	 all_loss: 0.072120	 p_loss: -0.077571	 e_loss: 0.877296	 v_loss: 0.144441	 v_mre: 27.297100	 grad_changes: 0.000038	 time_elapsed: 1.2413
Episode-112: ep_meanFlowTime: 341.527487	 all_loss: 0.050575	 p_loss: 0.235964	 e_loss: 0.858774	 v_loss: 0.101151	 v_mre: 25.054778	 grad_changes: 0.000000	 time_elapsed: 1.2519
Episode-113: ep_meanFlowTime: 311.141847	 all_loss: 0.064176	 p_loss: 0.181717	 e_loss: 0.921258	 v_loss: 0.128353	 v_mre: 49.211111	 grad_changes: 0.000000	 time_elapsed: 1.2614
Episode-114: ep_meanFlowTime: 460.800542	 all_loss: 0.109025	 p_loss: -0.691061	 e_loss: 0.950685	 v_loss: 0.218050	 v_mre: 25.851632	 grad_changes: 0.000000	 time_elapsed: 1.2716
Episode-115: ep_meanFlowTime: 572.643082	 all_loss: 0.086078	 p_loss: -0.056463	 e_loss: 0.896260	 v_loss: 0.172155	 v_mre: 23.991853	 grad_changes: 0.000000	 time_elapsed: 1.2821
Episode-116: ep_meanFlowTime: 335.227900	 all_loss: 0.085713	 p_loss: 0.632018	 e_loss: 0.882321	 v_loss: 0.171425	 v_mre: 60.092809	 grad_changes: 0.000000	 time_elapsed: 1.2928
Episode-117: ep_meanFlowTime: 426.674641	 all_loss: 0.051701	 p_loss: -0.185381	 e_loss: 0.869113	 v_loss: 0.103401	 v_mre: 22.730396	 grad_changes: 0.000000	 time_elapsed: 1.3032
Episode-118: ep_meanFlowTime: 428.293514	 all_loss: 0.073983	 p_loss: 0.007060	 e_loss: 0.931336	 v_loss: 0.147965	 v_mre: 28.838542	 grad_changes: 0.000000	 time_elapsed: 1.3128
Episode-119: ep_meanFlowTime: 372.549080	 all_loss: 0.025795	 p_loss: -0.095767	 e_loss: 0.877994	 v_loss: 0.051590	 v_mre: 17.023829	 grad_changes: 0.000000	 time_elapsed: 1.3239
Episode-120: ep_meanFlowTime: 353.215984	 all_loss: 0.072309	 p_loss: 0.130753	 e_loss: 0.880091	 v_loss: 0.144619	 v_mre: 45.973363	 grad_changes: 0.000000	 time_elapsed: 1.3351
Vlidation at update-120: mean_flowtime_deterministic: 418.649227+/-69.042797	 mean_Entropy: 0.897065+/-0.032975	 record: 416.907288	 time_elapsed: 1.3473
