==================================================
Watchdog start: Mon May 18 09:51:42 PM CST 2026
Run dir: /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9
Args: --vm_types 6 --each_vm_type_num 4 --arr_rate 9 --lr_a 0.0001 --lr_c 0.001 --warmup_critic 500 --max_updates 1000 --grad_control 0 --algo_seed 3 --entloss_coef 0.01 --actor_pointer 0 --actor_atten_layers 0 --checkpoint_interval 20
==================================================
[Mon May 18 09:51:42 PM CST 2026] === Attempt 1: starting fresh ===
Vlidation at HEFT: mean_flowtime_deterministic: 363.598782+/-54.009649	 time_elapsed: 0.006627
Episode-49: ep_meanFlowTime: 346.528292	 all_loss: 0.092726	 p_loss: -0.141387	 e_loss: 0.989531	 v_loss: 0.185452	 v_mre: 65.976670	 grad_changes: 0.000000	 time_elapsed: 0.5190
Episode-50: ep_meanFlowTime: 351.814031	 all_loss: 0.098339	 p_loss: 0.236240	 e_loss: 0.932164	 v_loss: 0.196203	 v_mre: 36.789046	 grad_changes: 0.000043	 time_elapsed: 0.5279
Episode-51: ep_meanFlowTime: 786.499068	 all_loss: 0.563004	 p_loss: -1.094430	 e_loss: 0.741471	 v_loss: 1.126008	 v_mre: 57.994710	 grad_changes: 0.000000	 time_elapsed: 0.5386
Episode-52: ep_meanFlowTime: 887.807066	 all_loss: 1.388949	 p_loss: -0.619031	 e_loss: 0.739515	 v_loss: 2.777898	 v_mre: 46.534374	 grad_changes: 0.000000	 time_elapsed: 0.5497
Episode-53: ep_meanFlowTime: 275.651781	 all_loss: 0.117001	 p_loss: 0.670746	 e_loss: 0.898377	 v_loss: 0.234002	 v_mre: 60.209242	 grad_changes: 0.000000	 time_elapsed: 0.5567
Episode-54: ep_meanFlowTime: 415.266641	 all_loss: 0.174346	 p_loss: -0.504122	 e_loss: 0.835228	 v_loss: 0.348692	 v_mre: 42.777278	 grad_changes: 0.000000	 time_elapsed: 0.5650
Episode-55: ep_meanFlowTime: 612.689792	 all_loss: 0.626048	 p_loss: -0.638263	 e_loss: 0.823316	 v_loss: 1.252095	 v_mre: 48.888721	 grad_changes: 0.000000	 time_elapsed: 0.5739
Episode-56: ep_meanFlowTime: 460.815485	 all_loss: 0.298015	 p_loss: 0.689686	 e_loss: 0.838329	 v_loss: 0.596031	 v_mre: 44.501086	 grad_changes: 0.000000	 time_elapsed: 0.5818
Episode-57: ep_meanFlowTime: 1028.092309	 all_loss: 2.408619	 p_loss: -2.012003	 e_loss: 0.762378	 v_loss: 4.817238	 v_mre: 63.865991	 grad_changes: 0.000000	 time_elapsed: 0.5944
Episode-58: ep_meanFlowTime: 485.913052	 all_loss: 0.564998	 p_loss: 0.531474	 e_loss: 0.784652	 v_loss: 1.129997	 v_mre: 225.373496	 grad_changes: 0.000000	 time_elapsed: 0.6036
Episode-59: ep_meanFlowTime: 873.257489	 all_loss: 0.813000	 p_loss: -0.903808	 e_loss: 0.715415	 v_loss: 1.626207	 v_mre: 41.911097	 grad_changes: 0.000042	 time_elapsed: 0.6156
