episode,ep_meanFlowTime,all_loss,p_loss,e_loss,v_loss,v_mre,grad_changes,time_elapsed_h
124,374.224913,0.054844,0.230672,1.213085,0.109687,23.421147,0.0,3.3766
125,340.617154,0.027243,-0.07214,1.240989,0.054486,19.455933,0.0,3.3968
126,349.288536,0.036219,-0.020404,1.216619,0.072439,20.778395,0.0,3.4169
127,417.188543,0.057337,-0.011875,1.249226,0.114675,36.683582,0.0,3.4387
128,500.282302,0.065638,-0.036083,1.163755,0.131275,20.863821,0.0,3.4603
129,418.051955,0.045792,-0.119841,1.277754,0.091584,17.837998,0.0,3.4815
130,395.158298,0.0495,0.057885,1.265763,0.099,43.331802,0.0,3.5022
131,427.030159,0.079976,-0.029154,1.173819,0.159952,27.317224,0.0,3.525
132,408.842567,0.046981,-0.001588,1.296235,0.093961,19.348667,0.0,3.5457
133,379.771463,0.035751,0.047985,1.2251,0.071501,26.446547,0.0,3.566
134,380.521139,0.055255,-0.207805,1.283069,0.11051,25.982356,0.0,3.5858
135,523.946294,0.098535,-0.091005,1.231307,0.19707,17.45736,0.0,3.6074
136,292.530322,0.094278,0.335334,1.271508,0.188556,45.823121,0.0,3.6278
137,374.642555,0.074882,-0.157167,1.265683,0.149764,41.128736,0.0,3.6486
138,374.508277,0.039672,-0.235766,1.241024,0.079344,30.638113,0.0,3.6688
139,383.217926,0.03038,0.031803,1.310651,0.06076,21.595406,0.0,3.6883
140,332.347662,0.042267,0.389844,1.261273,0.084533,103.118666,0.0,3.7096
141,270.086692,0.028513,-0.322697,1.179731,0.057025,27.567077,0.0,3.8419
142,456.129974,0.087609,-0.485126,1.213575,0.175218,22.607583,0.0,3.8627
143,442.823864,0.049293,0.04339,1.19293,0.098585,19.420638,0.0,3.8835
144,352.540511,0.028207,0.096979,1.190121,0.056414,18.239131,0.0,3.9043
145,217.736696,0.049543,0.387717,1.270999,0.099086,69.176655,0.0,3.9249
146,381.968236,0.07152,-0.502175,1.245759,0.14304,73.62934,0.0,3.9451
147,428.97783,0.103505,-0.098457,1.229844,0.207011,84.302303,0.0,3.9663
148,369.671638,0.116383,0.154508,1.242322,0.232765,29.164256,0.0,3.9869
149,250.32854,0.024899,0.086485,1.275902,0.049798,38.562733,0.0,4.0072
150,288.25938,0.039054,-0.09419,1.284597,0.078108,61.414459,0.0,4.0262
151,425.703582,0.045964,-0.264013,1.238958,0.091929,240.178245,0.0,4.0471
152,442.204798,0.046067,-0.195779,1.251063,0.092133,19.507211,0.0,4.0661
153,369.296991,0.089135,0.40706,1.264061,0.17827,68.51585,0.0,4.0871
154,404.40083,0.032688,-0.136337,1.218588,0.065377,19.117179,0.0,4.1076
155,361.012492,0.059782,0.006642,1.295947,0.119564,24.887657,0.0,4.1275
156,610.626949,0.109733,-0.081189,1.227075,0.219467,27.489865,0.0,4.1502
157,519.968901,0.097825,0.043038,1.234135,0.19565,22.397548,0.0,4.1709
158,249.356175,0.02742,0.381754,1.298243,0.054841,25.71023,0.0,4.1895
159,403.238501,0.050316,-0.41568,1.270687,0.100632,17.692213,0.0,4.2097
160,529.119764,0.142974,-0.178187,1.13022,0.285947,53.583936,0.0,4.2351
161,391.901861,0.045936,-0.211244,1.227728,0.091873,21.189484,0.0,4.368
162,334.059994,0.044789,0.147891,1.2192,0.089578,177.865962,0.0,4.3887
163,542.003938,0.075185,-0.422333,1.216965,0.15037,19.012686,0.0,4.4118
164,305.693991,0.051629,0.455524,1.298255,0.103259,115.465187,0.0,4.4323
165,448.455111,0.094489,-0.276157,1.218748,0.188978,26.049343,0.0,4.4539
166,498.319707,0.044612,-0.089107,1.267576,0.089224,19.014402,0.0,4.4746
167,460.563173,0.059602,-0.10707,1.243831,0.119204,29.851038,0.0,4.4948
168,489.57132,0.075311,0.157105,1.245302,0.150622,20.057905,0.0,4.5157
169,379.867284,0.057664,0.264995,1.245089,0.115327,22.501876,0.0,4.5361
170,525.66552,0.119046,-0.290313,1.233699,0.238092,28.188105,0.0,4.5569
171,450.05553,0.080361,-0.261309,1.240145,0.160722,24.988911,0.0,4.5769
