Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.087675
Episode-47: ep_meanFlowTime: 520.000193	 all_loss: 0.077840	 p_loss: -0.463274	 e_loss: 1.275324	 v_loss: 0.155679	 v_mre: 19.426481	 grad_changes: 0.000000	 time_elapsed: 1.3650
Episode-48: ep_meanFlowTime: 293.310686	 all_loss: 0.040704	 p_loss: 0.562088	 e_loss: 1.279896	 v_loss: 0.081408	 v_mre: 121.471768	 grad_changes: 0.000000	 time_elapsed: 1.3844
Episode-49: ep_meanFlowTime: 394.831471	 all_loss: 0.056799	 p_loss: -0.184749	 e_loss: 1.272988	 v_loss: 0.113598	 v_mre: 67.905384	 grad_changes: 0.000000	 time_elapsed: 1.4043
Episode-50: ep_meanFlowTime: 314.251836	 all_loss: 0.038703	 p_loss: 0.101850	 e_loss: 1.259637	 v_loss: 0.077406	 v_mre: 24.417974	 grad_changes: 0.000000	 time_elapsed: 1.4241
Episode-51: ep_meanFlowTime: 667.297198	 all_loss: 0.344785	 p_loss: -0.783441	 e_loss: 1.194557	 v_loss: 0.689571	 v_mre: 26.132968	 grad_changes: 0.000000	 time_elapsed: 1.4485
Episode-52: ep_meanFlowTime: 347.404798	 all_loss: 0.042249	 p_loss: 0.408455	 e_loss: 1.162191	 v_loss: 0.084498	 v_mre: 24.657151	 grad_changes: 0.000000	 time_elapsed: 1.4686
Episode-53: ep_meanFlowTime: 305.188426	 all_loss: 0.048659	 p_loss: 0.125513	 e_loss: 1.231729	 v_loss: 0.097317	 v_mre: 32.752411	 grad_changes: 0.000000	 time_elapsed: 1.4881
Episode-54: ep_meanFlowTime: 363.992144	 all_loss: 0.056201	 p_loss: -0.181604	 e_loss: 1.255003	 v_loss: 0.112402	 v_mre: 24.184911	 grad_changes: 0.000000	 time_elapsed: 1.5082
Episode-55: ep_meanFlowTime: 521.529091	 all_loss: 0.091298	 p_loss: -0.254848	 e_loss: 1.223972	 v_loss: 0.182595	 v_mre: 21.797065	 grad_changes: 0.000000	 time_elapsed: 1.5284
Episode-56: ep_meanFlowTime: 502.970976	 all_loss: 0.092316	 p_loss: 0.022248	 e_loss: 1.277737	 v_loss: 0.184632	 v_mre: 76.404691	 grad_changes: 0.000000	 time_elapsed: 1.5489
Episode-57: ep_meanFlowTime: 509.671594	 all_loss: 0.113355	 p_loss: -0.059549	 e_loss: 1.201699	 v_loss: 0.226711	 v_mre: 159.234733	 grad_changes: 0.000000	 time_elapsed: 1.5701
Episode-58: ep_meanFlowTime: 230.075474	 all_loss: 0.035409	 p_loss: 0.279575	 e_loss: 1.260332	 v_loss: 0.070818	 v_mre: 47.903419	 grad_changes: 0.000000	 time_elapsed: 1.5890
Episode-59: ep_meanFlowTime: 537.307801	 all_loss: 0.114956	 p_loss: -0.523516	 e_loss: 1.223040	 v_loss: 0.229913	 v_mre: 22.683478	 grad_changes: 0.000000	 time_elapsed: 1.6108
Episode-60: ep_meanFlowTime: 351.210134	 all_loss: 0.035587	 p_loss: 0.172440	 e_loss: 1.179020	 v_loss: 0.071175	 v_mre: 20.610177	 grad_changes: 0.000000	 time_elapsed: 1.6309
Vlidation at update-60: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293122+/-0.046699	 record: 421.007858	 time_elapsed: 1.7430
Episode-61: ep_meanFlowTime: 439.482677	 all_loss: 0.050105	 p_loss: -0.184261	 e_loss: 1.166873	 v_loss: 0.100210	 v_mre: 22.021856	 grad_changes: 0.000000	 time_elapsed: 1.7630
Episode-62: ep_meanFlowTime: 474.901146	 all_loss: 0.075103	 p_loss: 0.063565	 e_loss: 1.262194	 v_loss: 0.150207	 v_mre: 51.264353	 grad_changes: 0.000000	 time_elapsed: 1.7820
Episode-63: ep_meanFlowTime: 404.432950	 all_loss: 0.069441	 p_loss: 0.192534	 e_loss: 1.223108	 v_loss: 0.138883	 v_mre: 22.923688	 grad_changes: 0.000000	 time_elapsed: 1.8020
Episode-64: ep_meanFlowTime: 419.867221	 all_loss: 0.079597	 p_loss: 0.019731	 e_loss: 1.236587	 v_loss: 0.159193	 v_mre: 26.286809	 grad_changes: 0.000000	 time_elapsed: 1.8221
Episode-65: ep_meanFlowTime: 416.648808	 all_loss: 0.054934	 p_loss: 0.105046	 e_loss: 1.259373	 v_loss: 0.109868	 v_mre: 27.700714	 grad_changes: 0.000000	 time_elapsed: 1.8418
Episode-66: ep_meanFlowTime: 190.237661	 all_loss: 0.018543	 p_loss: 0.204646	 e_loss: 1.276715	 v_loss: 0.037085	 v_mre: 30.130908	 grad_changes: 0.000000	 time_elapsed: 1.8598
Episode-67: ep_meanFlowTime: 538.806726	 all_loss: 0.104054	 p_loss: -0.768373	 e_loss: 1.176291	 v_loss: 0.208108	 v_mre: 167.263679	 grad_changes: 0.000000	 time_elapsed: 1.8806
Episode-68: ep_meanFlowTime: 602.793939	 all_loss: 0.115477	 p_loss: -0.348379	 e_loss: 1.319055	 v_loss: 0.230955	 v_mre: 23.936841	 grad_changes: 0.000000	 time_elapsed: 1.9010
Episode-69: ep_meanFlowTime: 323.831508	 all_loss: 0.056462	 p_loss: 0.591327	 e_loss: 1.248528	 v_loss: 0.112923	 v_mre: 32.322840	 grad_changes: 0.000000	 time_elapsed: 1.9199
Episode-70: ep_meanFlowTime: 423.201317	 all_loss: 0.053264	 p_loss: -0.294992	 e_loss: 1.272507	 v_loss: 0.106529	 v_mre: 22.491979	 grad_changes: 0.000000	 time_elapsed: 1.9395
Episode-71: ep_meanFlowTime: 620.446316	 all_loss: 0.114524	 p_loss: -0.262868	 e_loss: 1.196471	 v_loss: 0.229048	 v_mre: 151.968493	 grad_changes: 0.000000	 time_elapsed: 1.9614
Episode-72: ep_meanFlowTime: 450.682388	 all_loss: 0.053847	 p_loss: 0.119232	 e_loss: 1.274690	 v_loss: 0.107693	 v_mre: 114.603675	 grad_changes: 0.000000	 time_elapsed: 1.9807
Episode-73: ep_meanFlowTime: 311.116616	 all_loss: 0.067754	 p_loss: 0.552951	 e_loss: 1.250141	 v_loss: 0.135508	 v_mre: 85.771056	 grad_changes: 0.000000	 time_elapsed: 2.0002
Episode-74: ep_meanFlowTime: 470.895924	 all_loss: 0.098143	 p_loss: -0.334203	 e_loss: 1.298153	 v_loss: 0.196285	 v_mre: 25.838506	 grad_changes: 0.000000	 time_elapsed: 2.0208
Episode-75: ep_meanFlowTime: 433.832878	 all_loss: 0.095269	 p_loss: -0.097261	 e_loss: 1.233449	 v_loss: 0.190538	 v_mre: 26.247039	 grad_changes: 0.000000	 time_elapsed: 2.0409
Episode-76: ep_meanFlowTime: 375.999672	 all_loss: 0.100837	 p_loss: 0.078895	 e_loss: 1.328162	 v_loss: 0.201675	 v_mre: 90.962431	 grad_changes: 0.000000	 time_elapsed: 2.0597
Episode-77: ep_meanFlowTime: 358.403774	 all_loss: 0.034291	 p_loss: 0.151777	 e_loss: 1.208208	 v_loss: 0.068582	 v_mre: 22.798967	 grad_changes: 0.000000	 time_elapsed: 2.0795
Episode-78: ep_meanFlowTime: 474.263467	 all_loss: 0.070305	 p_loss: -0.107638	 e_loss: 1.226510	 v_loss: 0.140611	 v_mre: 41.478419	 grad_changes: 0.000000	 time_elapsed: 2.1004
Episode-79: ep_meanFlowTime: 546.915307	 all_loss: 0.068275	 p_loss: -0.084699	 e_loss: 1.223157	 v_loss: 0.136550	 v_mre: 17.226939	 grad_changes: 0.000000	 time_elapsed: 2.1221
Episode-80: ep_meanFlowTime: 441.091507	 all_loss: 0.043206	 p_loss: -0.048722	 e_loss: 1.192271	 v_loss: 0.086411	 v_mre: 21.319540	 grad_changes: 0.000000	 time_elapsed: 2.1423
Vlidation at update-80: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293131+/-0.046701	 record: 421.007858	 time_elapsed: 2.2549
Episode-81: ep_meanFlowTime: 257.239124	 all_loss: 0.045291	 p_loss: 0.420375	 e_loss: 1.300989	 v_loss: 0.090582	 v_mre: 86.014752	 grad_changes: 0.000000	 time_elapsed: 2.2735
Episode-82: ep_meanFlowTime: 446.782780	 all_loss: 0.060513	 p_loss: -0.525056	 e_loss: 1.323923	 v_loss: 0.121026	 v_mre: 22.777874	 grad_changes: 0.000000	 time_elapsed: 2.2925
Episode-83: ep_meanFlowTime: 529.880921	 all_loss: 0.131192	 p_loss: -0.140846	 e_loss: 1.230764	 v_loss: 0.262385	 v_mre: 233.384236	 grad_changes: 0.000000	 time_elapsed: 2.3127
Episode-84: ep_meanFlowTime: 329.581661	 all_loss: 0.085070	 p_loss: 0.545603	 e_loss: 1.251141	 v_loss: 0.170140	 v_mre: 70.760105	 grad_changes: 0.000000	 time_elapsed: 2.3324
Episode-85: ep_meanFlowTime: 496.905205	 all_loss: 0.049385	 p_loss: -0.084738	 e_loss: 1.315162	 v_loss: 0.098769	 v_mre: 17.415699	 grad_changes: 0.000000	 time_elapsed: 2.3527
Episode-86: ep_meanFlowTime: 577.587699	 all_loss: 0.071404	 p_loss: -0.153983	 e_loss: 1.210241	 v_loss: 0.142809	 v_mre: 16.971011	 grad_changes: 0.000000	 time_elapsed: 2.3738
Episode-87: ep_meanFlowTime: 482.605707	 all_loss: 0.059638	 p_loss: -0.029915	 e_loss: 1.280909	 v_loss: 0.119276	 v_mre: 18.555224	 grad_changes: 0.000000	 time_elapsed: 2.3932
Episode-88: ep_meanFlowTime: 518.290704	 all_loss: 0.077344	 p_loss: 0.411695	 e_loss: 1.263188	 v_loss: 0.154687	 v_mre: 50.942013	 grad_changes: 0.000000	 time_elapsed: 2.4143
Episode-89: ep_meanFlowTime: 617.610856	 all_loss: 0.140577	 p_loss: -0.402739	 e_loss: 1.273558	 v_loss: 0.281154	 v_mre: 23.107599	 grad_changes: 0.000000	 time_elapsed: 2.4353
Episode-90: ep_meanFlowTime: 481.074134	 all_loss: 0.069476	 p_loss: 0.339746	 e_loss: 1.242621	 v_loss: 0.138952	 v_mre: 18.091653	 grad_changes: 0.000000	 time_elapsed: 2.4563
Episode-91: ep_meanFlowTime: 392.102013	 all_loss: 0.112024	 p_loss: 0.148289	 e_loss: 1.280884	 v_loss: 0.224048	 v_mre: 71.512517	 grad_changes: 0.000000	 time_elapsed: 2.4764
Episode-92: ep_meanFlowTime: 358.743333	 all_loss: 0.035163	 p_loss: 0.187906	 e_loss: 1.244332	 v_loss: 0.070326	 v_mre: 48.394876	 grad_changes: 0.000000	 time_elapsed: 2.4967
Episode-93: ep_meanFlowTime: 447.216322	 all_loss: 0.060165	 p_loss: -0.279852	 e_loss: 1.173443	 v_loss: 0.120330	 v_mre: 18.424291	 grad_changes: 0.000000	 time_elapsed: 2.5185
Episode-94: ep_meanFlowTime: 409.783191	 all_loss: 0.061716	 p_loss: 0.176871	 e_loss: 1.261177	 v_loss: 0.123433	 v_mre: 24.027607	 grad_changes: 0.000000	 time_elapsed: 2.5394
Episode-95: ep_meanFlowTime: 376.828699	 all_loss: 0.050193	 p_loss: -0.105883	 e_loss: 1.255004	 v_loss: 0.100385	 v_mre: 28.360845	 grad_changes: 0.000000	 time_elapsed: 2.5590
Episode-96: ep_meanFlowTime: 345.133880	 all_loss: 0.020519	 p_loss: 0.124292	 e_loss: 1.169632	 v_loss: 0.041038	 v_mre: 14.573943	 grad_changes: 0.000000	 time_elapsed: 2.5796
Episode-97: ep_meanFlowTime: 671.138916	 all_loss: 0.184640	 p_loss: -0.913143	 e_loss: 1.219053	 v_loss: 0.369279	 v_mre: 22.589068	 grad_changes: 0.000000	 time_elapsed: 2.6016
Episode-98: ep_meanFlowTime: 377.903848	 all_loss: 0.079145	 p_loss: 0.813673	 e_loss: 1.245934	 v_loss: 0.158289	 v_mre: 32.406730	 grad_changes: 0.000000	 time_elapsed: 2.6218
Episode-99: ep_meanFlowTime: 292.192444	 all_loss: 0.053195	 p_loss: -0.112188	 e_loss: 1.247610	 v_loss: 0.106390	 v_mre: 33.254015	 grad_changes: 0.000000	 time_elapsed: 2.6405
Episode-100: ep_meanFlowTime: 259.731258	 all_loss: 0.047291	 p_loss: 0.084362	 e_loss: 1.258117	 v_loss: 0.094582	 v_mre: 140.402129	 grad_changes: 0.000000	 time_elapsed: 2.6599
Vlidation at update-100: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293123+/-0.046700	 record: 421.007858	 time_elapsed: 2.7725
Episode-101: ep_meanFlowTime: 388.431814	 all_loss: 0.069427	 p_loss: -0.225587	 e_loss: 1.240341	 v_loss: 0.138854	 v_mre: 27.667427	 grad_changes: 0.000000	 time_elapsed: 2.7927
Episode-102: ep_meanFlowTime: 421.797046	 all_loss: 0.065998	 p_loss: -0.147104	 e_loss: 1.177033	 v_loss: 0.131996	 v_mre: 22.519100	 grad_changes: 0.000000	 time_elapsed: 2.8138
Episode-103: ep_meanFlowTime: 261.853116	 all_loss: 0.028922	 p_loss: 0.138629	 e_loss: 1.241786	 v_loss: 0.057843	 v_mre: 172.645060	 grad_changes: 0.000000	 time_elapsed: 2.8326
Episode-104: ep_meanFlowTime: 420.934588	 all_loss: 0.056642	 p_loss: -0.382769	 e_loss: 1.216687	 v_loss: 0.113283	 v_mre: 20.641160	 grad_changes: 0.000000	 time_elapsed: 2.8529
Episode-105: ep_meanFlowTime: 483.749705	 all_loss: 0.106968	 p_loss: -0.014202	 e_loss: 1.221283	 v_loss: 0.213936	 v_mre: 25.597243	 grad_changes: 0.000000	 time_elapsed: 2.8731
Episode-106: ep_meanFlowTime: 379.975326	 all_loss: 0.075486	 p_loss: 0.086200	 e_loss: 1.248175	 v_loss: 0.150972	 v_mre: 25.045664	 grad_changes: 0.000000	 time_elapsed: 2.8939
Episode-107: ep_meanFlowTime: 517.288033	 all_loss: 0.117251	 p_loss: 0.074500	 e_loss: 1.277768	 v_loss: 0.234503	 v_mre: 176.744519	 grad_changes: 0.000000	 time_elapsed: 2.9150
Episode-108: ep_meanFlowTime: 448.191484	 all_loss: 0.079394	 p_loss: -0.065063	 e_loss: 1.197910	 v_loss: 0.158787	 v_mre: 170.252089	 grad_changes: 0.000000	 time_elapsed: 2.9362
Episode-109: ep_meanFlowTime: 316.545498	 all_loss: 0.075306	 p_loss: 0.049868	 e_loss: 1.303175	 v_loss: 0.150611	 v_mre: 34.208348	 grad_changes: 0.000000	 time_elapsed: 2.9548
Episode-110: ep_meanFlowTime: 449.515017	 all_loss: 0.062908	 p_loss: -0.188971	 e_loss: 1.210728	 v_loss: 0.125817	 v_mre: 25.141371	 grad_changes: 0.000000	 time_elapsed: 2.9751
Episode-111: ep_meanFlowTime: 503.093811	 all_loss: 0.170464	 p_loss: 0.291663	 e_loss: 1.201090	 v_loss: 0.340929	 v_mre: 30.277838	 grad_changes: 0.000000	 time_elapsed: 2.9989
Episode-112: ep_meanFlowTime: 344.723421	 all_loss: 0.055756	 p_loss: 0.091717	 e_loss: 1.237135	 v_loss: 0.111513	 v_mre: 180.232052	 grad_changes: 0.000000	 time_elapsed: 3.0174
Episode-113: ep_meanFlowTime: 319.659177	 all_loss: 0.096348	 p_loss: -0.047679	 e_loss: 1.287154	 v_loss: 0.192696	 v_mre: 91.127512	 grad_changes: 0.000000	 time_elapsed: 3.0365
Episode-114: ep_meanFlowTime: 458.648448	 all_loss: 0.118543	 p_loss: -0.302964	 e_loss: 1.307976	 v_loss: 0.237086	 v_mre: 35.209305	 grad_changes: 0.000000	 time_elapsed: 3.0568
